"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9"
"Colchicum_autumnale",32,107,-40,819,107,31,40,308,97,308,97,68,29,5857,160,-74,234,107,-40
"Colchicum_corsicum",93,166,33,814,104,19,38,295,92,109,249,49,24,5326,207,7,200,72,163
"Colchicum_umbrosum",120,223,20,750,104,50,24,253,157,174,241,77,25,7978,276,-21,297,41,109
"Colchicum_parnassicum",74,157,-4,934,138,25,48,379,93,100,370,101,35,6380,237,-47,284,12,155
"Colchicum_speciosum",39,119,-43,1041,131,56,23,346,187,322,208,99,34,6428,191,-92,283,99,-40
"Colchicum_tunicatum",176,238,103,167,36,0,105,103,0,0,103,115,44,5326,309,50,259,103,238
"Colchicum_feinbruniae",163,234,83,606,148,0,106,397,0,0,397,102,38,6022,302,38,264,83,234
"Colchicum_ritchii",192,254,122,546,138,0,111,367,0,0,309,104,43,5341,314,75,239,122,252
"Colchicum_tuviae",147,214,71,335,74,0,109,211,0,0,211,114,42,5674,288,21,267,71,214
"Colchicum_variegatum",160,225,96,527,105,1,84,285,9,9,249,61,30,5137,266,66,200,98,225
"Colchicum_troodi",178,244,105,734,188,0,107,486,0,2,486,91,37,5609,305,65,240,105,243
"Colchicum_decaisnei",178,244,105,780,197,0,105,513,0,2,513,90,37,5569,307,67,240,105,242
"Colchicum_macrophyllum",150,219,85,972,202,2,82,515,19,19,466,66,31,5288,262,54,208,87,219
"Colchicum_balansae",184,260,114,868,210,1,98,531,6,6,518,79,33,5875,314,77,237,129,260
"Colchicum_graecum",87,168,12,952,153,20,56,417,79,79,405,102,36,6189,247,-30,277,28,168
"Colchicum_lusitanum",169,224,117,848,145,0,75,395,15,22,386,78,39,4142,273,75,198,126,221
"Colchicum_stevenii",196,259,126,536,138,0,111,362,0,0,362,105,43,5364,317,78,239,126,256
"Colchicum_multiflorum",131,200,68,784,101,16,36,286,97,124,238,84,36,5252,257,24,233,106,199
"Colchicum_longifolium",126,200,58,819,106,26,29,269,122,145,206,72,31,5624,251,22,229,138,199
"Colchicum_szovitsii",105,184,22,508,111,0,93,301,0,2,301,104,37,6404,255,-25,280,22,182
"Colchicum_kurdicum",139,260,16,840,147,1,79,415,5,5,372,115,29,9610,348,-37,385,63,260
"Colchicum_raddeanum",15,101,-76,624,107,14,56,280,55,229,55,99,32,6997,173,-131,304,47,-76
"Colchicum_bulbocodium",84,165,1,1098,100,76,7,290,261,264,279,91,33,6364,234,-39,273,12,161
"Androcymbium_cuspidatum",140,188,88,308,33,21,14,91,68,68,75,153,57,3935,274,9,265,146,188
"Androcymbium_striatum",146,180,98,831,144,8,71,403,28,372,28,131,58,3287,239,15,224,176,98
"Androcymbium_bellum",217,282,144,85,20,2,64,46,11,24,11,182,55,5416,378,50,328,258,144
"Androcymbium_hantamense",155,211,96,229,33,8,39,88,31,31,85,162,57,4553,305,21,284,103,211
"Androcymbium_irroratum",137,197,74,205,26,9,32,70,34,35,66,166,55,4833,292,-7,299,104,186
"Androcymbium_ciliolatum",171,216,123,186,31,4,60,86,14,19,86,149,59,3597,303,52,251,123,214
"Androcymbium_burchellii",160,214,102,240,33,8,38,91,30,30,89,161,57,4407,308,28,280,110,214
"Androcymbium_scabromarginatum",167,207,124,173,30,3,63,82,12,16,82,138,60,3239,287,57,230,132,206
