species,habit,range
Heloniopsis kawanoi,geophyte rhizome hemicr,38
Heloniopsis koreana,geophyte rhizome hemicr,38
Heloniopsis leucantha,geophyte rhizome hemicr,38
Heloniopsis orientalis,geophyte rhizome,31 38
Heloniopsis tubiflora,geophyte rhizome hemicr,38
Heloniopsis umbellata,geophyte rhizome hemicr,38
Paris axialis,geophyte rhizome,36
Paris bashanensis,geophyte rhizome,36
Paris caobangensis,hemicr,41
Paris cronquistii,geophyte rhizome,36 41
Paris daliensis,geophyte rhizome,36
Paris delavayi,geophyte rhizome,36 41
Paris dulongensis,geophyte rhizome,36
Paris dunniana,geophyte rhizome,36 41
Paris fargesii,geophyte rhizome,36 40 41
Paris forrestii,geophyte rhizome,36 41
Paris guizhouensis,geophyte rhizome,36
Paris incompleta,geophyte rhizome,33 34
Paris japonica,geophyte rhizome,38
Paris luquanensis,geophyte rhizome,36
Paris mairei,geophyte rhizome,36
Paris marmorata,geophyte rhizome,36 40
Paris polyandra,geophyte rhizome,36
Paris polyphylla,geophyte rhizome,36 38 40 41
Paris quadrifolia,geophyte rhizome,10 11 12 13 14 30 32 33 34 36 37
Paris rugosa,geophyte rhizome,36
Paris stigmatosa,geophyte rhizome,36
Paris tetraphylla,geophyte rhizome,38
Paris thibetica,geophyte rhizome,36 40 41
Paris undulata,geophyte rhizome,36
Paris vaniotii,geophyte rhizome,36 41
Paris verticillata,geophyte rhizome,30 31 36 37 38
Paris vietnamensis,geophyte rhizome,36 41
Pseudotrillium rivale,geophyte rhizome,73 76
Schoenocaulon calcicola,geophyte bulb,79
Schoenocaulon caricifolium,geophyte bulb,79
Schoenocaulon comatum,geophyte bulb,79
Schoenocaulon conzattii,geophyte bulb,79
Schoenocaulon dubium,geophyte bulb,78
Schoenocaulon frameae,geophyte bulb,79
Schoenocaulon ghiesbreghtii,geophyte bulb,77 79
Schoenocaulon ignigenum,geophyte bulb,79
Schoenocaulon intermedium,geophyte bulb,79
Schoenocaulon jaliscense,geophyte bulb,79
Schoenocaulon macrocarpum,geophyte bulb,79
Schoenocaulon madidorum,geophyte bulb,79
Schoenocaulon megarrhizum,geophyte bulb,79
Schoenocaulon mortonii,geophyte bulb,79
Schoenocaulon oaxacense,geophyte bulb,79
Schoenocaulon obtusum,geophyte bulb,79
Schoenocaulon officinale,geophyte bulb,79 80 82
Schoenocaulon pellucidum,geophyte bulb,79
Schoenocaulon plumosum,geophyte bulb,79
Schoenocaulon pringlei,geophyte bulb,79
Schoenocaulon rzedowskii,geophyte bulb,79
Schoenocaulon tenorioi,geophyte bulb,79
Schoenocaulon tenue,geophyte bulb,79
Schoenocaulon tenuifolium,geophyte bulb,79
Schoenocaulon texanum,geophyte bulb,77 79
Schoenocaulon tigrense,geophyte bulb,79
Stenanthium densum,geophyte bulb,75 77 78
Stenanthium diffusum,geophyte bulb,78
Stenanthium gramineum,geophyte bulb,74 75 77 78
Toxicoscordion brevibracteatum,geophyte bulb,76 79
Toxicoscordion exaltatum,geophyte bulb,76
Toxicoscordion fontanum,geophyte bulb,76
Toxicoscordion fremontii,geophyte bulb,73 76 79
Toxicoscordion micranthum,geophyte bulb,73 76
Toxicoscordion nuttallii,geophyte bulb,74 77 78
Toxicoscordion paniculatum,geophyte bulb,73 76 77 79
